,wid,links,county,city,state,population,watertype
32624,NY0701005,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY0701005&state=NY&source=Ground%20water&population=266&sys_num=0,CHEMUNG,BIG FLATS (T),NY,266,Ground water
13035,IA6469601,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IA6469601&state=IA&source=Ground%20water%20purchased&population=517&sys_num=0,MARSHALL,MARSHALLTOWN,IA,517,Ground water purchased
739,WA5308520,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=WA5308520&state=WA&source=Ground%20water&population=249&sys_num=0,GRANT,NOT REPORTED,WA,249,Ground water
36595,MI0002625,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MI0002625&state=MI&source=Ground%20water&population=200&sys_num=0,SCHOOLCRAFT,GERMFASK,MI,200,Ground water
28350,NC0136304,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0136304&state=NC&source=Ground%20water&population=157&sys_num=0,GASTON,GASTONIA,NC,157,Ground water
23786,FL6530320,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=FL6530320&state=FL&source=Ground%20water&population=5455&sys_num=0,POLK,FORT MEADE,FL,5455,Ground water
13243,MO3010033,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MO3010033&state=MO&source=Ground%20water&population=3707&sys_num=0,BOONE,ASHLAND,MO,3707,Ground water
44408,NJ2104001,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NJ2104001&state=NJ&source=Ground%20water&population=800&sys_num=0,WARREN,BLAIRSTOWN TWP.-2104,NJ,800,Ground water
7726,NM3507529,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NM3507529&state=NM&source=Ground%20water&population=5301&sys_num=0,TAOS,TAOS,NM,5301,Ground water
31434,PA7670003,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA7670003&state=PA&source=Ground%20water&population=140&sys_num=0,YORK,NOT REPORTED,PA,140,Ground water
27877,NC0149189,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0149189&state=NC&source=Ground%20water&population=56&sys_num=0,IREDELL,MOORESVILLE,NC,56,Ground water
8372,SD4600197,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=SD4600197&state=SD&source=Ground%20water&population=173&sys_num=0,CORSON,MCINTOSH,SD,173,Ground water
5096,ID4080036,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ID4080036&state=ID&source=Ground%20water&population=61&sys_num=0,BOISE,NOT REPORTED,ID,61,Ground water
32924,NY3417176,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NY3417176&state=NY&source=Ground%20water&population=125&sys_num=0,ONTARIO,CANADICE (T),NY,125,Ground water
47074,DE0000227,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=DE0000227&state=DE&source=Ground%20water&population=141&sys_num=0,SUSSEX,DAGSBORO,DE,141,Ground water
20769,OH4901512,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OH4901512&state=OH&source=Ground%20water&population=27&sys_num=0,MADISON,NOT REPORTED,OH,27,Ground water
10707,OK2000606,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK2000606&state=OK&source=Ground%20water&population=960&sys_num=0,BLAINE,NOT REPORTED,OK,960,Ground water
9690,KS2011706,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=KS2011706&state=KS&source=Ground%20water&population=3295&sys_num=0,MARSHALL,MARYSVILLE,KS,3295,Ground water
40905,TX0750007,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=TX0750007&state=TX&source=Ground%20water&population=810&sys_num=0,FAYETTE,NOT REPORTED,TX,810,Ground water
10236,OK3001203,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=OK3001203&state=OK&source=Surface%20water%20purchased&population=300&sys_num=0,CHOCTAW,NOT REPORTED,OK,300,Surface water purchased
5028,ID7100060,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=ID7100060&state=ID&source=Ground%20water&population=38&sys_num=0,BONNEVILLE,IDAHO FALLS,ID,38,Ground water
31597,PA3130008,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=PA3130008&state=PA&source=Ground%20water&population=145&sys_num=0,CARBON,NOT REPORTED,PA,145,Ground water
47621,MD0080013,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=MD0080013&state=MD&source=Ground%20water&population=139&sys_num=0,CHARLES,NOT REPORTED,MD,139,Ground water
19121,IL0250300,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=IL0250300&state=IL&source=Surface%20water%20purchased&population=560&sys_num=0,CLAY,XENIA,IL,560,Surface water purchased
28512,NC0362010,//oaspub.epa.gov/enviro/sdw_report_v3.first_table?pws_id=NC0362010&state=NC&source=Surface%20water&population=13912&sys_num=0,MONTGOMERY,MT GILEAD,NC,13912,Surface water
