,,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Monterey County, California",,"125,115","5,823","5,354","5,619","6,536","6,095","6,194","6,364","5,745","5,330","10,824","13,054","16,149","10,746","6,924","7,272","7,086"
"Napa County, California",,"49,631","1,714","2,105","1,701","2,433","1,762","1,965","1,915","2,071","2,264","3,602","4,597","6,723","5,417","3,307","3,690","4,365"
"Nevada County, California",,"40,838","1,682","2,139","2,019","2,121","2,074","2,475","1,729","1,942","1,876","3,308","4,080","5,333","3,669","2,208","2,390","1,793"
"Orange County, California",,"1,002,285","43,966","34,301","35,442","37,223","37,513","37,418","36,582","36,469","34,608","70,171","91,405","131,486","103,122","74,465","91,544","106,570"
"Placer County, California",,"134,111","5,508","4,755","5,231","5,104","5,137","5,423","5,313","5,289","4,156","9,199","13,028","18,259","15,034","10,404","11,885","10,386"
"Plumas County, California",,"8,529",588,774,500,636,308,647,336,280,323,845,821,"1,115",596,190,283,287
"Riverside County, California",,"690,388","37,929","35,007","35,445","37,094","33,798","35,455","32,305","31,714","29,591","53,786","71,060","90,661","59,966","38,559","39,405","28,613"
"Sacramento County, California",,"519,460","32,088","30,852","25,597","25,401","25,221","25,604","25,258","23,802","21,727","40,960","53,142","66,096","45,611","26,796","29,789","21,516"
"San Benito County, California",,"17,121",600,723,711,780,531,662,937,688,614,"1,178","2,110","2,308","1,965","1,070","1,292",952
"San Bernardino County, California",,"607,604","41,056","31,580","32,562","31,968","31,042","28,573","29,323","29,226","24,792","51,362","64,413","77,983","52,301","30,952","29,655","20,816"
"San Diego County, California",,"1,083,811","66,671","46,262","43,408","47,942","46,610","49,264","44,949","44,568","42,881","80,523","102,683","140,525","101,855","68,329","79,141","78,200"
"San Francisco County, California",,"348,832","22,652","21,338","13,689","13,494","11,228","10,987","10,583","10,114","9,166","19,378","26,305","36,924","33,524","24,087","32,934","52,429"
"San Joaquin County, California",,"217,343","13,339","12,295","11,901","12,827","10,526","11,179","10,793","10,016","9,277","17,345","21,987","26,368","19,465","10,274","12,231","7,520"
"San Luis Obispo County, California",,"102,350","6,523","5,437","3,947","4,763","4,631","5,194","4,309","5,091","3,956","7,727","9,560","13,946","9,893","6,132","5,986","5,255"
"San Mateo County, California",,"258,683","8,197","6,465","6,736","7,667","7,926","7,814","7,525","8,775","7,201","15,831","22,999","31,868","27,328","20,592","26,150","45,609"
"Santa Barbara County, California",,"142,028","7,641","6,693","6,588","6,213","6,521","6,431","6,210","5,682","5,383","10,346","14,320","17,854","12,401","8,692","10,263","10,790"
"Santa Clara County, California",,"614,714","23,162","19,090","18,306","18,509","18,678","18,738","16,946","18,932","17,398","33,307","48,255","72,428","65,244","49,456","70,785","105,480"
"Santa Cruz County, California",,"94,219","5,975","3,974","3,608","4,407","3,497","3,850","3,885","3,891","3,421","6,264","8,964","11,802","8,715","6,049","7,834","8,083"
"Shasta County, California",,"68,961","4,797","5,255","4,432","4,731","4,155","4,079","3,721","3,606","3,472","5,458","7,153","7,362","4,410","2,133","2,495","1,702"
"Sierra County, California",,"1,291",79,104,148,41,74,64,62,100,41,98,96,138,122,23,53,48
"Siskiyou County, California",,"19,380","1,616","1,908","1,705","1,753","1,128","1,094",919,"1,038",807,"1,660","1,875","1,979",680,521,399,298
"Solano County, California",,"142,521","6,927","6,444","5,168","5,538","5,452","5,909","5,235","5,970","5,136","11,275","14,927","20,939","15,307","9,766","10,715","7,813"
"Sonoma County, California",,"186,935","8,236","8,026","7,820","9,161","8,003","8,134","7,750","7,994","8,127","15,096","18,700","25,262","17,925","11,657","12,867","12,177"
"Stanislaus County, California",,"168,090","11,372","11,080","10,127","8,742","9,492","9,603","9,000","8,688","6,449","14,173","17,139","19,914","13,054","8,016","6,403","4,838"
"Sutter County, California",,"31,723","1,606","1,944","2,017","1,862","1,576","1,589","1,664","1,749","1,260","2,826","3,283","3,732","2,652","1,264","1,702",997
"Tehama County, California",,"23,480","1,567","1,656","1,621","1,709","1,490","1,756","1,469","1,100","1,149","2,083","2,350","2,383","1,449",718,440,540
"Trinity County, California",,"5,521",365,523,484,457,296,564,172,230,309,352,472,660,280,137,104,116
"Tulare County, California",,"132,706","10,382","9,269","9,931","9,050","8,525","8,335","7,124","6,435","6,137","10,872","12,326","13,440","8,049","5,100","4,681","3,050"
"Tuolumne County, California",,"22,181","1,334","1,417","1,481","1,197","1,367","1,406","1,115",919,"1,247","2,265","2,064","2,695","1,422",704,888,660
"Ventura County, California",,"267,829","9,304","9,271","9,511","10,150","9,017","10,166","9,058","10,323","9,388","17,690","25,615","38,189","28,817","20,767","24,096","26,467"
"Yolo County, California",,"70,953","5,084","4,468","4,116","3,716","3,402","2,897","2,890","2,727","3,058","5,086","6,157","7,678","6,668","3,900","4,937","4,169"
"Yuba County, California",,"24,712","1,581","1,570","1,684","1,723","1,636","1,625","1,180","1,211","1,369","2,160","2,608","3,197","1,528",700,647,293
"Adams County, Colorado",,"155,047","8,076","5,900","6,136","6,871","8,353","7,732","7,666","8,232","7,469","14,331","18,137","22,944","14,089","8,189","6,454","4,468"
"Alamosa County, Colorado",,"5,993","1,036",442,555,549,312,333,172,321,336,378,398,555,219,86,147,154
"Arapahoe County, Colorado",,"228,267","11,888","8,090","8,441","10,772","10,174","11,019","10,398","10,301","9,443","19,151","25,141","29,248","21,425","13,765","14,447","14,564"
"Archuleta County, Colorado",,"5,343",280,243,288,401,291,361,423,269,212,406,585,620,345,311,119,189
"Baca County, Colorado",,"1,637",181,115,129,111,91,110,109,106,58,157,141,174,69,29,20,37
"Bent County, Colorado",,"1,788",179,164,100,118,65,138,169,132,95,126,206,134,73,35,22,32
"Boulder County, Colorado",,"121,526","8,077","4,334","5,401","4,702","5,324","4,408","4,686","4,915","4,082","7,843","11,034","14,633","11,747","8,519","10,659","11,162"
"Broomfield County, Colorado",,"22,651",898,623,602,828,683,924,756,635,712,"1,606","2,224","3,394","2,860","1,899","2,070","1,937"
"Chaffee County, Colorado",,"7,735",413,361,471,451,511,413,457,504,356,759,916,"1,139",287,320,184,193
"Cheyenne County, Colorado",,788,36,61,38,25,46,35,70,25,27,75,127,101,53,33,11,25
"Clear Creek County, Colorado",,"4,103",194,123,185,127,201,146,103,186,117,292,535,663,364,400,251,216
"Conejos County, Colorado",,"3,023",371,302,211,231,148,191,104,123,113,237,352,323,131,158,24,4
"Costilla County, Colorado",,"1,396",186,140,134,141,64,42,87,110,89,62,82,134,58,22,23,22
"Crowley County, Colorado",,"1,173",167,108,110,70,118,52,46,92,64,124,75,64,33,15,16,19
"Custer County, Colorado",,"2,125",209,169,182,184,200,218,64,76,31,160,276,177,66,42,18,53
"Delta County, Colorado",,"12,527","1,102","1,019",766,904,711,804,580,727,647,893,"1,224","1,512",659,332,330,317
"Denver County, Colorado",,"271,054","23,817","14,939","13,749","13,887","13,766","13,944","12,466","12,726","11,502","20,360","24,242","31,578","20,286","12,284","14,136","17,372"
"Dolores County, Colorado",,759,115,48,56,62,52,62,47,20,41,75,39,71,34,10,13,14
"Douglas County, Colorado",,"105,404","2,323","1,529","1,828","1,817","2,072","2,829","2,299","3,054","2,539","5,928","9,015","15,481","14,961","11,181","13,864","14,684"
"Eagle County, Colorado",,"18,038",537,335,393,663,436,720,"1,002",804,577,"1,596","2,108","2,457","1,804","1,229","1,625","1,752"
"Elbert County, Colorado",,"8,259",284,154,157,244,199,272,334,315,201,692,900,"1,408","1,013",650,697,739
"El Paso County, Colorado",,"240,154","13,962","9,665","11,058","12,196","11,306","11,309","11,180","11,142","11,177","21,216","25,074","31,497","21,290","13,968","13,621","10,493"
"Fremont County, Colorado",,"16,600","1,272","1,331","1,206",925,"1,256","1,198",978,979,806,"1,560","1,621","1,621",991,261,333,262
"Garfield County, Colorado",,"20,330",954,619,"1,136","1,027",831,965,874,"1,204",928,"2,086","2,047","3,023","1,937","1,029",981,689
"Gilpin County, Colorado",,"2,463",85,95,161,97,100,77,126,55,78,256,374,309,249,120,168,113
"Grand County, Colorado",,"5,208",284,164,134,148,213,292,138,410,169,471,717,823,607,192,222,224
"Gunnison County, Colorado",,"6,336",494,283,334,310,293,270,386,449,298,433,865,945,399,205,200,172
"Hinsdale County, Colorado",,418,13,20,24,40,16,16,28,11,8,57,22,67,38,24,19,15
"Huerfano County, Colorado",,"2,864",257,282,273,228,283,219,73,209,71,142,262,308,83,39,59,76
"Jackson County, Colorado",,644,60,39,41,26,38,20,44,46,47,45,85,103,20,9,15,6
"Jefferson County, Colorado",,"220,814","9,652","6,975","7,862","9,231","8,272","9,793","8,640","9,597","8,514","17,094","23,113","32,148","23,568","15,387","16,518","14,450"
"Kiowa County, Colorado",,559,53,35,37,50,20,47,43,43,21,30,44,86,12,5,24,9
"Kit Carson County, Colorado",,"3,053",171,226,241,222,239,210,187,133,128,286,238,396,164,101,63,48
"Lake County, Colorado",,"3,106",227,114,194,145,123,166,247,306,92,205,374,415,333,79,72,14
"La Plata County, Colorado",,"21,124","1,248",887,822,902,957,"1,011",961,"1,085",891,"2,024","2,518","2,936","1,672","1,264","1,126",820
"Larimer County, Colorado",,"122,743","7,240","5,296","6,033","6,186","5,574","5,929","5,887","5,619","5,331","9,518","13,067","16,815","11,110","6,508","7,072","5,558"
"Las Animas County, Colorado",,"5,890",585,400,449,323,277,343,261,242,331,610,545,635,473,169,157,90
"Lincoln County, Colorado",,"1,757",152,168,60,141,93,119,94,78,85,131,170,218,126,40,27,55
"Logan County, Colorado",,"7,825",602,627,418,521,522,529,527,432,299,737,644,881,430,233,175,248
"Mesa County, Colorado",,"58,966","4,681","3,239","3,181","3,155","3,590","3,393","3,343","3,129","2,454","4,853","5,874","7,101","4,631","2,363","2,471","1,508"
"Mineral County, Colorado",,375,12,19,36,36,14,18,26,12,29,20,35,43,36,26,6,7
"Moffat County, Colorado",,"4,890",361,258,344,229,254,321,247,152,272,375,465,753,406,171,238,44
"Montezuma County, Colorado",,"10,659",813,801,728,519,667,762,539,759,449,888,"1,262","1,277",479,228,284,204
"Montrose County, Colorado",,"16,815","1,057","1,135","1,258","1,129","1,072","1,149",759,872,837,"1,598","1,913","1,855","1,121",461,342,257
"Morgan County, Colorado",,"10,443",672,460,565,905,592,751,479,683,531,"1,019",980,"1,500",561,336,259,150
"Otero County, Colorado",,"7,381","1,024",490,643,733,525,442,422,367,332,472,659,529,426,191,72,54
"Ouray County, Colorado",,"1,969",112,99,86,53,79,114,84,66,67,199,310,284,163,82,92,79
"Park County, Colorado",,"7,184",286,279,300,358,490,247,366,384,268,543,915,"1,142",669,398,431,108
"Phillips County, Colorado",,"1,656",159,104,117,82,78,111,68,119,94,109,228,210,59,41,30,47
"Pitkin County, Colorado",,"7,357",373,183,124,298,198,502,192,348,348,601,630,965,777,552,508,758
"Prowers County, Colorado",,"4,925",556,393,393,450,287,361,204,322,167,381,420,360,351,119,126,35
"Pueblo County, Colorado",,"62,829","5,926","4,377","4,102","4,530","4,061","4,040","2,992","3,038","2,976","5,229","6,663","6,880","3,709","1,739","1,689",878
"Rio Blanco County, Colorado",,"2,644",162,187,79,81,97,184,90,139,69,176,288,577,237,147,61,70
"Rio Grande County, Colorado",,"4,741",445,381,336,323,316,366,255,345,165,428,473,424,178,64,166,76
"Routt County, Colorado",,"9,573",416,358,603,406,336,419,453,627,456,656,997,"1,521",825,578,408,514
"Saguache County, Colorado",,"2,598",330,201,222,235,190,162,123,163,88,297,184,198,120,21,23,41
"San Juan County, Colorado",,338,21,15,31,25,18,24,48,2,32,38,27,30,11,10,6,0
"San Miguel County, Colorado",,"3,330",145,158,103,156,184,240,107,125,189,278,381,417,352,83,167,245
"Sedgwick County, Colorado",,932,61,90,86,48,70,49,41,31,41,93,95,132,55,17,5,18
"Summit County, Colorado",,"10,386",573,346,255,234,381,761,570,558,380,833,"1,083","1,558",951,547,697,659
"Teller County, Colorado",,"9,611",439,257,661,433,407,436,383,435,420,723,"1,107","1,310","1,148",748,491,213
"Washington County, Colorado",,"1,986",138,115,144,127,134,143,96,110,135,172,186,228,103,62,37,56
"Weld County, Colorado",,"92,369","5,445","3,695","4,088","4,931","4,559","4,291","4,058","4,439","4,275","7,732","9,978","13,559","8,989","4,680","4,732","2,918"
"Yuma County, Colorado",,"3,833",192,164,329,185,324,262,261,247,236,398,278,440,192,98,157,70
"Fairfield County, Connecticut",,"333,502","17,108","10,822","12,302","11,533","11,829","11,133","10,535","10,566","10,294","19,497","27,022","38,629","29,765","23,644","29,952","58,871"
"Hartford County, Connecticut",,"348,204","22,686","14,954","15,865","15,748","14,733","13,921","12,703","13,032","12,166","24,832","33,887","46,208","33,988","22,009","25,692","25,780"
"Litchfield County, Connecticut",,"75,229","3,389","2,118","3,308","2,862","2,185","3,085","2,873","3,053","2,971","5,417","7,925","11,037","8,335","5,840","6,113","4,718"
"Middlesex County, Connecticut",,"66,372","2,546","1,835","2,376","2,655","2,570","2,033","1,904","2,681","2,182","4,966","6,211","8,488","7,727","5,973","5,987","6,238"
"New Haven County, Connecticut",,"327,086","22,688","15,623","15,909","14,737","13,566","14,659","13,302","13,919","11,344","23,730","30,583","41,415","30,931","19,966","23,869","20,845"
"New London County, Connecticut",,"106,882","4,971","4,043","4,084","4,511","4,320","4,206","4,047","4,847","4,088","9,228","10,482","15,231","10,998","7,012","8,668","6,146"
"Tolland County, Connecticut",,"54,444","1,926","1,232","2,060","1,730","1,421","1,856","1,906","2,170","1,901","3,476","5,446","8,716","6,453","5,019","5,201","3,931"
"Windham County, Connecticut",,"44,487","2,543","2,324","2,199","2,078","2,077","2,082","1,900","2,134","1,690","3,417","4,458","6,905","4,105","2,925","2,460","1,190"
"Kent County, Delaware",,"59,142","3,642","3,125","2,720","2,726","2,770","2,956","2,891","3,110","2,568","5,490","6,457","8,763","5,153","3,045","2,373","1,353"
"New Castle County, Delaware",,"201,543","11,542","7,188","8,099","8,044","9,028","9,031","7,806","8,879","8,238","15,573","20,644","27,094","19,781","13,332","14,513","12,751"
"Sussex County, Delaware",,"78,361","4,415","3,269","4,306","4,292","4,548","4,255","3,899","3,734","3,597","7,152","8,832","10,226","6,579","3,600","3,013","2,644"
"District of Columbia, District of Columbia",,"267,415","27,619","11,413","9,962","10,365","8,557","9,414","8,439","10,117","7,701","16,358","21,908","29,330","23,828","16,427","21,655","34,322"
"Alachua County, Florida",,"96,137","13,487","5,934","5,681","5,615","5,491","5,287","4,780","3,889","3,546","7,802","7,877","9,340","6,455","3,521","3,540","3,892"
"Baker County, Florida",,"8,351",527,546,532,469,369,481,544,512,364,876,758,996,597,375,178,227
"Bay County, Florida",,"67,388","4,861","3,494","4,016","3,846","4,261","3,629","4,164","3,885","3,199","6,128","7,621","7,801","3,971","2,575","2,220","1,717"
"Bradford County, Florida",,"8,824","1,102",725,498,711,607,374,343,406,367,655,908,"1,041",461,303,147,176
"Brevard County, Florida",,"221,582","15,520","11,877","12,993","12,464","13,928","12,777","11,755","12,096","10,666","18,433","22,663","25,812","16,946","8,858","8,209","6,585"
"Broward County, Florida",,"667,578","48,158","35,742","37,610","36,181","36,519","35,855","33,589","33,003","27,634","53,056","64,768","77,674","52,610","30,291","33,250","31,638"
"Calhoun County, Florida",,"4,756",581,286,436,341,390,433,322,219,190,439,352,374,226,103,20,44
"Charlotte County, Florida",,"70,948","4,730","4,302","4,601","4,575","4,513","4,636","4,246","4,476","3,479","6,639","7,612","7,752","4,530","1,920","1,707","1,230"
"Citrus County, Florida",,"60,670","5,026","4,517","4,322","4,936","4,951","4,283","3,499","3,235","2,965","5,318","5,620","5,890","2,822","1,327",914,"1,045"
"Clay County, Florida",,"68,016","3,840","2,064","2,441","3,460","3,197","3,044","3,515","3,565","3,104","6,217","7,961","9,609","7,033","3,599","3,122","2,245"
"Collier County, Florida",,"126,331","6,812","5,057","5,048","6,620","6,990","7,143","6,108","5,844","5,852","11,319","12,263","14,804","9,885","6,044","5,852","10,690"
"Columbia County, Florida",,"23,714","1,996","1,715","1,713","2,062","1,554","1,532","1,494","1,356","1,103","1,980","2,422","2,072","1,272",542,465,436
"DeSoto County, Florida",,"10,964","1,213",656,"1,053",999,721,651,913,658,539,"1,178",868,676,424,184,139,92
"Dixie County, Florida",,"6,020",510,490,656,566,484,304,374,380,332,460,662,503,148,87,37,27
"Duval County, Florida",,"334,721","28,602","19,612","18,396","19,263","19,429","19,458","18,287","16,443","14,609","27,360","34,640","38,490","23,814","13,269","11,934","11,115"
"Escambia County, Florida",,"112,395","8,920","6,444","7,068","7,236","6,309","7,458","6,961","5,918","5,495","9,998","11,440","13,580","6,549","3,402","3,084","2,533"
"Flagler County, Florida",,"35,939","2,031","1,993","2,262","1,878","2,187","2,010","2,230","2,278","2,117","3,382","3,908","4,437","2,153","1,082","1,077",914
"Franklin County, Florida",,"4,253",494,407,316,203,271,222,342,206,174,415,299,375,196,145,73,115
"Gadsden County, Florida",,"16,986","2,554","1,142","1,094","1,053","1,120","1,392",658,954,660,"1,458","1,502","1,574",989,353,384,99
"Gilchrist County, Florida",,"6,274",549,583,445,587,324,204,371,268,373,402,804,701,351,128,109,75
"Glades County, Florida",,"3,846",547,283,255,350,350,207,172,331,192,401,326,155,139,69,33,36
"Gulf County, Florida",,"5,381",522,461,318,391,268,427,226,346,331,321,576,540,262,142,142,108
"Hamilton County, Florida",,"4,704",799,365,315,283,293,254,296,171,274,460,369,385,241,37,128,34
"Hardee County, Florida",,"7,534",692,581,708,649,547,467,405,486,436,564,495,710,344,202,126,122
"Hendry County, Florida",,"11,156",851,882,"1,043","1,176",718,677,617,607,378,959,"1,046",916,541,238,335,172
"Hernando County, Florida",,"70,183","5,519","4,502","4,881","5,626","5,186","4,779","4,229","4,236","3,766","6,498","7,360","7,180","3,169","1,318","1,011",923
"Highlands County, Florida",,"39,882","3,506","3,090","3,329","2,957","3,266","3,242","2,813","2,524","1,480","3,664","3,595","3,077","1,634",666,526,513
"Hillsborough County, Florida",,"477,472","37,067","25,985","26,928","27,443","25,114","25,782","25,305","23,886","20,655","38,833","47,097","54,102","35,282","20,415","21,777","21,801"
"Holmes County, Florida",,"6,758",836,705,562,525,267,394,419,287,463,456,670,604,365,67,83,55
"Indian River County, Florida",,"57,342","3,374","3,246","4,568","4,390","3,824","3,786","2,930","2,730","2,277","4,578","5,089","5,754","3,984","2,044","1,744","3,024"
