,,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races
"Jackson County, South Dakota",,"3,031","1,300",6,"1,577",1,1,146
"Jerauld County, South Dakota",,"2,071","2,041",1,6,4,3,16
"Jones County, South Dakota",,"1,006",962,1,20,0,4,19
"Kingsbury County, South Dakota",,"5,148","5,058",7,25,17,0,41
"Lake County, South Dakota",,"11,200","10,852",60,80,79,3,126
"Lawrence County, South Dakota",,"24,097","22,874",96,501,159,10,457
"Lincoln County, South Dakota",,"44,828","43,226",323,231,471,7,570
"Lyman County, South Dakota",,"3,755","2,198",3,"1,444",10,1,99
"McCook County, South Dakota",,"5,618","5,539",8,23,9,3,36
"McPherson County, South Dakota",,"2,459","2,432",1,1,4,3,18
"Marshall County, South Dakota",,"4,656","4,122",17,454,9,0,54
"Meade County, South Dakota",,"25,434","23,600",334,613,168,21,698
"Mellette County, South Dakota",,"2,048",819,2,"1,108",5,0,114
"Miner County, South Dakota",,"2,389","2,353",3,4,9,0,20
"Minnehaha County, South Dakota",,"169,468","152,181","6,555","4,410","2,573",223,"3,526"
"Moody County, South Dakota",,"6,486","5,309",33,915,70,0,159
"Pennington County, South Dakota",,"100,948","85,143","1,072","9,975","1,085",83,"3,590"
"Perkins County, South Dakota",,"2,982","2,900",2,45,4,0,31
"Potter County, South Dakota",,"2,329","2,276",3,20,8,1,21
"Roberts County, South Dakota",,"10,149","6,289",15,"3,526",21,1,297
"Sanborn County, South Dakota",,"2,355","2,321",0,6,4,0,24
"Shannon County, South Dakota",,"13,586",399,4,"13,056",14,3,110
"Spink County, South Dakota",,"6,415","6,265",17,79,7,1,46
"Stanley County, South Dakota",,"2,966","2,676",9,198,4,0,79
"Sully County, South Dakota",,"1,373","1,332",1,16,0,0,24
"Todd County, South Dakota",,"9,612",925,16,"8,496",18,0,157
"Tripp County, South Dakota",,"5,644","4,700",7,799,12,0,126
"Turner County, South Dakota",,"8,347","8,168",20,71,17,3,68
"Union County, South Dakota",,"14,399","13,890",99,81,133,11,185
"Walworth County, South Dakota",,"5,438","4,505",6,776,14,0,137
"Yankton County, South Dakota",,"22,438","21,078",355,600,120,7,278
"Ziebach County, South Dakota",,"2,801",616,6,"2,100",2,1,76
"Anderson County, Tennessee",,"75,129","69,761","2,881",264,813,23,"1,387"
"Bedford County, Tennessee",,"45,058","39,841","3,735",308,411,73,690
"Benton County, Tennessee",,"16,489","15,832",330,73,66,0,188
"Bledsoe County, Tennessee",,"12,876","12,179",474,57,18,3,145
"Blount County, Tennessee",,"123,010","116,371","3,488",485,913,43,"1,710"
"Bradley County, Tennessee",,"98,963","91,578","4,364",554,902,67,"1,498"
"Campbell County, Tennessee",,"40,716","39,947",129,110,108,21,401
"Cannon County, Tennessee",,"13,801","13,404",173,31,19,9,165
"Carroll County, Tennessee",,"28,522","24,999","2,907",133,59,12,412
"Carter County, Tennessee",,"57,424","55,705",778,124,183,10,624
"Cheatham County, Tennessee",,"39,105","37,762",582,141,146,20,454
"Chester County, Tennessee",,"17,131","15,160","1,581",75,65,2,248
"Claiborne County, Tennessee",,"32,213","31,321",283,96,169,5,339
"Clay County, Tennessee",,"7,861","7,633",104,29,7,8,80
"Cocke County, Tennessee",,"35,662","34,116",679,167,112,27,561
"Coffee County, Tennessee",,"52,796","49,376","1,889",199,462,26,844
"Crockett County, Tennessee",,"14,586","12,358","1,887",59,32,4,246
"Cumberland County, Tennessee",,"56,053","54,879",195,213,238,60,468
"Davidson County, Tennessee",,"626,681","414,297","175,999","3,116","19,499",688,"13,082"
"Decatur County, Tennessee",,"11,757","11,239",342,27,28,12,109
"DeKalb County, Tennessee",,"18,723","18,105",315,49,54,2,198
"Dickson County, Tennessee",,"49,666","46,318","2,093",210,246,17,782
"Dyer County, Tennessee",,"38,335","31,906","5,512",101,193,13,610
"Fayette County, Tennessee",,"38,413","26,980","10,824",108,192,4,305
"Fentress County, Tennessee",,"17,959","17,694",38,44,39,4,140
"Franklin County, Tennessee",,"41,052","37,794","2,133",158,306,27,634
"Gibson County, Tennessee",,"49,683","39,463","9,394",112,110,7,597
"Giles County, Tennessee",,"29,485","25,674","3,037",102,119,12,541
"Grainger County, Tennessee",,"22,657","22,248",116,51,24,10,208
"Greene County, Tennessee",,"68,831","66,240","1,386",187,258,59,701
"Grundy County, Tennessee",,"13,703","13,434",39,65,24,1,140
"Hamblen County, Tennessee",,"62,544","57,717","2,755",464,478,79,"1,051"
"Hamilton County, Tennessee",,"336,463","254,589","68,396","2,002","6,078",478,"4,920"
"Hancock County, Tennessee",,"6,819","6,693",24,19,7,0,76
"Hardeman County, Tennessee",,"27,253","15,488","11,295",66,155,0,249
"Hardin County, Tennessee",,"26,026","24,572",898,81,102,7,366
"Hawkins County, Tennessee",,"56,833","55,087",749,138,287,11,561
"Haywood County, Tennessee",,"18,787","9,048","9,519",54,22,0,144
"Henderson County, Tennessee",,"27,769","24,971","2,206",60,76,3,453
"Henry County, Tennessee",,"32,330","29,031","2,615",106,100,6,472
"Hickman County, Tennessee",,"24,690","23,080","1,126",128,52,2,302
"Houston County, Tennessee",,"8,426","8,055",193,28,25,3,122
"Humphreys County, Tennessee",,"18,538","17,734",470,92,35,7,200
"Jackson County, Tennessee",,"11,638","11,425",30,54,11,2,116
"Jefferson County, Tennessee",,"51,407","49,276","1,088",224,218,17,584
"Johnson County, Tennessee",,"18,244","17,629",380,35,35,6,159
"Knox County, Tennessee",,"432,226","375,770","38,592","1,540","8,266",485,"7,573"
"Lake County, Tennessee",,"7,832","5,519","2,179",27,11,2,94
"Lauderdale County, Tennessee",,"27,815","17,451","9,790",182,67,4,321
"Lawrence County, Tennessee",,"41,869","40,326",654,158,122,7,602
"Lewis County, Tennessee",,"12,161","11,725",199,39,47,5,146
"Lincoln County, Tennessee",,"33,361","30,175","2,297",167,122,47,553
"Loudon County, Tennessee",,"48,556","46,934",562,173,305,102,480
"McMinn County, Tennessee",,"52,266","48,608","2,111",208,405,13,921
"McNairy County, Tennessee",,"26,075","24,082","1,557",73,52,2,309
"Macon County, Tennessee",,"22,248","21,756",99,136,51,3,203
"Madison County, Tennessee",,"98,294","59,983","35,856",262,955,43,"1,195"
"Marion County, Tennessee",,"28,237","26,673","1,018",120,116,1,309
"Marshall County, Tennessee",,"30,617","27,831","2,034",123,146,37,446
"Maury County, Tennessee",,"80,956","68,485","10,230",321,512,41,"1,367"
"Meigs County, Tennessee",,"11,753","11,402",116,88,18,0,129
"Monroe County, Tennessee",,"44,519","42,411",997,251,157,21,682
"Montgomery County, Tennessee",,"172,331","126,047","33,809","1,165","3,747",727,"6,836"
"Moore County, Tennessee",,"6,362","6,102",149,17,29,1,64
"Morgan County, Tennessee",,"21,987","20,804",807,73,42,8,253
"Obion County, Tennessee",,"31,807","27,896","3,404",68,83,23,333
"Overton County, Tennessee",,"22,083","21,649",88,68,45,1,232
"Perry County, Tennessee",,"7,915","7,619",121,49,14,0,112
"Pickett County, Tennessee",,"5,077","5,031",5,11,4,0,26
"Polk County, Tennessee",,"16,825","16,469",54,65,24,9,204
"Putnam County, Tennessee",,"72,321","68,405","1,511",498,869,88,950
"Rhea County, Tennessee",,"31,809","30,419",624,156,137,16,457
"Roane County, Tennessee",,"54,181","51,431","1,444",191,279,19,817
"Robertson County, Tennessee",,"66,283","59,758","5,006",314,356,58,791
"Rutherford County, Tennessee",,"262,604","213,909","33,378","1,395","8,217",234,"5,471"
"Scott County, Tennessee",,"22,228","21,912",28,58,44,1,185
"Sequatchie County, Tennessee",,"14,112","13,817",35,69,43,5,143
"Sevier County, Tennessee",,"89,889","86,758",819,422,818,31,"1,041"
"Shelby County, Tennessee",,"927,644","403,700","486,358","3,374","21,995",957,"11,260"
"Smith County, Tennessee",,"19,166","18,384",410,90,42,3,237
"Stewart County, Tennessee",,"13,324","12,707",188,75,138,3,213
"Sullivan County, Tennessee",,"156,823","150,133","3,403",468,904,40,"1,875"
"Sumner County, Tennessee",,"160,645","145,505","10,466",546,"1,684",146,"2,298"
"Tipton County, Tennessee",,"61,081","47,926","11,515",269,384,55,932
"Trousdale County, Tennessee",,"7,870","6,935",756,40,19,1,119
"Unicoi County, Tennessee",,"18,313","18,023",42,48,30,3,167
"Union County, Tennessee",,"19,109","18,762",22,68,22,12,223
"Van Buren County, Tennessee",,"5,548","5,453",23,15,8,0,49
"Warren County, Tennessee",,"39,839","37,677","1,284",156,198,32,492
"Washington County, Tennessee",,"122,979","114,156","4,939",440,"1,488",52,"1,904"
"Wayne County, Tennessee",,"17,021","15,806",980,58,30,5,142
"Weakley County, Tennessee",,"35,021","31,329","2,747",114,381,10,440
"White County, Tennessee",,"25,841","24,868",466,93,71,20,323
"Williamson County, Tennessee",,"183,182","166,646","8,039",471,"5,592",89,"2,345"
"Wilson County, Tennessee",,"113,993","103,135","7,368",445,"1,312",74,"1,659"
"Anderson County, Texas",,"58,458","44,226","12,623",360,416,71,762
"Andrews County, Texas",,"14,786","14,107",242,185,100,1,151
"Angelina County, Texas",,"86,771","70,935","13,406",622,868,26,914
"Aransas County, Texas",,"23,158","21,762",327,225,477,20,347
"Archer County, Texas",,"9,054","8,800",53,79,18,3,101
"Armstrong County, Texas",,"1,901","1,855",11,18,0,0,17
"Atascosa County, Texas",,"44,911","43,340",421,430,232,45,443
"Austin County, Texas",,"28,417","24,952","2,771",216,134,3,341
"Bailey County, Texas",,"7,165","6,793",101,179,33,10,49
"Bandera County, Texas",,"20,485","19,878",102,201,59,6,239
"Bastrop County, Texas",,"74,171","64,733","6,023","1,269",593,104,"1,449"
"Baylor County, Texas",,"3,726","3,578",83,16,4,3,42
"Bee County, Texas",,"31,861","28,488","2,648",221,187,23,294
"Bell County, Texas",,"310,235","212,981","69,531","3,377","9,308","2,708","12,330"
"Bexar County, Texas",,"1,714,773","1,475,485","136,286","21,118","44,761","3,270","33,853"
"Blanco County, Texas",,"10,497","10,129",77,115,54,6,116
"Borden County, Texas",,641,622,0,2,1,0,16
"Bosque County, Texas",,"18,212","17,480",315,131,61,3,222
"Bowie County, Texas",,"92,565","66,488","22,604",858,749,74,"1,792"
"Brazoria County, Texas",,"313,166","249,084","38,737","2,402","17,655",162,"5,126"
"Brazos County, Texas",,"194,851","158,139","21,910","1,231","10,315",180,"3,076"
"Brewster County, Texas",,"9,232","8,762",111,126,75,8,150
"Briscoe County, Texas",,"1,637","1,563",43,5,0,0,26
"Brooks County, Texas",,"7,223","7,099",50,28,27,3,16
"Brown County, Texas",,"38,106","35,666","1,420",262,184,27,547
"Burleson County, Texas",,"17,187","14,702","2,113",150,28,3,191
"Burnet County, Texas",,"42,750","40,789",798,406,214,25,518
"Caldwell County, Texas",,"38,066","33,969","2,722",454,384,18,519
"Calhoun County, Texas",,"21,381","19,449",622,132,962,10,206
"Callahan County, Texas",,"13,544","13,036",147,83,58,12,208
"Cameron County, Texas",,"406,220","396,590","2,578","2,329","2,925",216,"1,582"
"Camp County, Texas",,"12,401","9,742","2,188",117,83,20,251
"Carson County, Texas",,"6,182","5,974",35,69,26,0,78
"Cass County, Texas",,"30,464","24,467","5,351",182,93,4,367
"Castro County, Texas",,"8,062","7,677",175,114,40,0,56
"Chambers County, Texas",,"35,096","30,858","3,005",383,367,25,458
"Cherokee County, Texas",,"50,845","41,320","7,669",731,263,19,843
"Childress County, Texas",,"7,041","6,165",705,46,50,2,73
"Clay County, Texas",,"10,752","10,352",57,146,29,1,167
"Cochran County, Texas",,"3,127","2,897",135,67,6,5,17
"Coke County, Texas",,"3,320","3,210",11,61,5,1,32
"Coleman County, Texas",,"8,895","8,433",205,98,33,1,125
"Collin County, Texas",,"782,341","600,717","68,190","5,777","89,287",611,"17,759"
"Collingsworth County, Texas",,"3,057","2,775",160,62,16,0,44
"Colorado County, Texas",,"20,874","17,526","2,829",186,97,16,220
"Comal County, Texas",,"108,472","103,307","1,861",838,906,84,"1,476"
"Comanche County, Texas",,"13,974","13,606",76,120,43,5,124
"Concho County, Texas",,"4,087","3,909",87,25,18,6,42
"Cooke County, Texas",,"38,437","35,876","1,121",520,325,21,574
"Coryell County, Texas",,"75,388","56,646","12,493",815,"1,528",703,"3,203"
"Cottle County, Texas",,"1,505","1,351",134,5,0,1,14
"Crane County, Texas",,"4,375","4,108",143,53,30,1,40
"Crockett County, Texas",,"3,719","3,585",43,44,14,3,30
"Crosby County, Texas",,"6,059","5,711",220,41,6,4,77
"Culberson County, Texas",,"2,398","2,274",15,38,26,0,45
"Dallam County, Texas",,"6,703","6,352",93,103,48,10,97
"Dallas County, Texas",,"2,368,139","1,637,820","540,079","27,378","123,588","2,396","36,878"
"Dawson County, Texas",,"13,833","12,492",966,141,73,13,148
"Deaf Smith County, Texas",,"19,372","18,553",300,280,73,14,152
"Delta County, Texas",,"5,231","4,621",382,73,30,0,125
"Denton County, Texas",,"662,614","539,743","57,075","5,925","44,587",565,"14,719"
"DeWitt County, Texas",,"20,097","17,696","1,989",147,54,7,204
"Dickens County, Texas",,"2,444","2,236",106,50,22,2,28
"Dimmit County, Texas",,"9,996","9,731",104,51,60,1,49
"Donley County, Texas",,"3,677","3,437",167,19,9,2,43
"Duval County, Texas",,"11,782","11,519",122,63,30,10,38
"Eastland County, Texas",,"18,583","17,816",359,170,66,10,162
"Ector County, Texas",,"137,130","125,904","6,470","1,813","1,219",204,"1,520"
"Edwards County, Texas",,"2,002","1,931",15,36,14,0,6
"Ellis County, Texas",,"149,610","131,511","13,788","1,144",925,130,"2,112"
"El Paso County, Texas",,"800,647","746,389","27,098","7,470","9,142","1,286","9,262"
"Erath County, Texas",,"37,890","36,207",466,486,277,21,433
"Falls County, Texas",,"17,866","12,789","4,636",163,51,22,205
"Fannin County, Texas",,"33,915","30,427","2,332",384,132,15,625
"Fayette County, Texas",,"24,554","22,295","1,672",290,80,13,204
"Fisher County, Texas",,"3,974","3,735",150,25,12,1,51
"Floyd County, Texas",,"6,446","6,098",240,62,17,1,28
"Foard County, Texas",,"1,336","1,271",53,3,5,0,4
"Fort Bend County, Texas",,"585,375","340,821","128,309","3,442","101,685",410,"10,708"
"Franklin County, Texas",,"10,605","9,860",435,115,51,2,142
"Freestone County, Texas",,"19,816","15,942","3,265",247,90,5,267
"Frio County, Texas",,"17,217","15,940",625,121,395,1,135
"Gaines County, Texas",,"17,526","16,791",329,172,47,5,182
"Galveston County, Texas",,"291,309","233,754","41,051","2,367","9,004",217,"4,916"
"Garza County, Texas",,"6,461","5,932",443,38,10,7,31
"Gillespie County, Texas",,"24,837","24,174",117,263,93,14,176
"Glasscock County, Texas",,"1,226","1,198",15,4,1,2,6
"Goliad County, Texas",,"7,210","6,688",372,63,18,2,67
"Gonzales County, Texas",,"19,807","17,627","1,567",333,84,18,178
"Gray County, Texas",,"22,535","20,631","1,157",258,101,1,387
"Grayson County, Texas",,"120,877","107,779","7,245","2,060","1,091",65,"2,637"
"Gregg County, Texas",,"121,730","92,211","24,823","1,143","1,421",107,"2,025"
"Grimes County, Texas",,"26,604","21,498","4,454",195,69,17,371
"Guadalupe County, Texas",,"131,533","116,449","8,907","1,242","2,016",238,"2,681"
"Hale County, Texas",,"36,273","33,044","2,127",523,166,41,372
"Hall County, Texas",,"3,353","3,037",249,31,8,2,26
"Hamilton County, Texas",,"8,517","8,248",50,123,37,1,58
"Hansford County, Texas",,"5,613","5,429",44,82,16,0,42
"Hardeman County, Texas",,"4,139","3,773",249,28,13,0,76
"Hardin County, Texas",,"54,635","50,331","3,219",247,284,8,546
"Harris County, Texas",,"4,092,459","2,918,354","798,077","46,842","261,637","5,498","62,051"
"Harrison County, Texas",,"65,631","49,019","14,546",785,372,64,845
"Hartley County, Texas",,"6,062","5,548",423,27,30,3,31
"Haskell County, Texas",,"5,899","5,492",240,45,31,0,91
"Hays County, Texas",,"157,107","144,186","5,984","1,813","1,998",217,"2,909"
"Hemphill County, Texas",,"3,807","3,720",9,27,23,3,25
"Henderson County, Texas",,"78,532","71,398","4,985",574,348,51,"1,176"
"Hidalgo County, Texas",,"774,769","754,936","5,358","3,563","8,008",206,"2,698"
"Hill County, Texas",,"35,089","31,891","2,298",236,140,29,495
"Hockley County, Texas",,"22,935","21,452",893,289,73,8,220
"Hood County, Texas",,"51,182","49,564",268,431,324,40,555
"Hopkins County, Texas",,"35,161","31,483","2,544",310,185,31,608
"Houston County, Texas",,"23,732","16,989","6,262",136,103,1,241
"Howard County, Texas",,"35,012","31,236","2,442",488,345,22,479
"Hudspeth County, Texas",,"3,476","3,328",50,38,23,0,37
"Hunt County, Texas",,"86,129","75,066","7,295","1,018",967,180,"1,603"
"Hutchinson County, Texas",,"22,150","20,585",594,426,99,9,437
"Irion County, Texas",,"1,599","1,559",11,7,3,0,19
"Jack County, Texas",,"9,044","8,525",342,74,31,9,63
"Jackson County, Texas",,"14,075","12,741","1,023",78,52,5,176
"Jasper County, Texas",,"35,710","28,809","6,002",233,204,18,444
"Jeff Davis County, Texas",,"2,342","2,252",32,15,7,1,35
"Jefferson County, Texas",,"252,273","150,885","86,570","2,374","8,921",171,"3,352"
"Jim Hogg County, Texas",,"5,300","5,211",23,22,17,0,27
"Jim Wells County, Texas",,"40,838","39,811",257,350,184,16,220
"Johnson County, Texas",,"150,934","141,553","4,203","1,388","1,077",542,"2,171"
"Jones County, Texas",,"20,202","17,071","2,517",231,130,1,252
"Karnes County, Texas",,"14,824","13,123","1,456",134,41,2,68
"Kaufman County, Texas",,"103,350","88,812","10,951",958,972,40,"1,617"
"Kendall County, Texas",,"33,410","32,268",214,222,241,23,442
"Kenedy County, Texas",,416,399,9,6,1,0,1
"Kent County, Texas",,808,782,8,7,0,0,11
"Kerr County, Texas",,"49,625","46,963",950,499,420,36,757
"Kimble County, Texas",,"4,607","4,508",18,41,19,5,16
"King County, Texas",,286,279,0,3,0,0,4
"Kinney County, Texas",,"3,598","3,447",64,29,14,8,36
"Kleberg County, Texas",,"32,061","29,297","1,316",255,786,43,364
"Knox County, Texas",,"3,719","3,393",224,35,7,3,57
"Lamar County, Texas",,"49,793","40,729","6,755",791,326,10,"1,182"
"Lamb County, Texas",,"13,977","12,874",662,243,33,4,161
"Lampasas County, Texas",,"19,677","18,031",669,207,225,41,504
"La Salle County, Texas",,"6,886","6,761",46,40,8,1,30
"Lavaca County, Texas",,"19,263","17,552","1,369",89,60,17,176
"Lee County, Texas",,"16,612","14,294","1,835",174,62,30,217
"Leon County, Texas",,"16,801","15,209","1,235",99,88,3,167
"Liberty County, Texas",,"75,643","65,048","8,406",717,405,60,"1,007"
"Limestone County, Texas",,"23,384","18,536","4,199",231,100,11,307
"Lipscomb County, Texas",,"3,302","3,124",40,57,10,5,66
"Live Oak County, Texas",,"11,531","10,755",517,111,61,4,83
"Llano County, Texas",,"19,301","18,744",123,147,80,6,201
"Loving County, Texas",,82,78,0,4,0,0,0
"Lubbock County, Texas",,"278,831","243,642","21,946","2,888","6,027",308,"4,020"
"Lynn County, Texas",,"5,915","5,594",135,96,15,1,74
"McCulloch County, Texas",,"8,283","7,919",176,72,33,1,82
"McLennan County, Texas",,"234,906","189,095","35,808","2,513","3,506",204,"3,780"
"McMullen County, Texas",,707,679,8,0,3,0,17
"Madison County, Texas",,"13,664","10,482","2,790",133,87,6,166
"Marion County, Texas",,"10,546","7,855","2,337",100,50,3,201
"Martin County, Texas",,"4,799","4,601",99,32,14,3,50
"Mason County, Texas",,"4,012","3,927",23,20,7,10,25
"Matagorda County, Texas",,"36,702","30,694","4,358",414,758,38,440
"Maverick County, Texas",,"54,258","53,050",172,682,204,6,144
"Medina County, Texas",,"46,006","43,555","1,100",412,348,51,540
"Menard County, Texas",,"2,242","2,187",15,30,3,0,7
"Midland County, Texas",,"136,872","122,260","9,521","1,415","1,848",95,"1,733"
"Milam County, Texas",,"24,757","21,589","2,539",265,102,3,259
"Mills County, Texas",,"4,936","4,812",36,37,11,1,39
"Mitchell County, Texas",,"9,403","7,947","1,162",129,49,4,112
"Montague County, Texas",,"19,719","19,128",65,223,65,4,234
"Montgomery County, Texas",,"455,746","413,629","20,104","4,697","10,008",455,"6,853"
"Moore County, Texas",,"21,904","19,498",388,349,"1,405",36,228
"Morris County, Texas",,"12,934","9,556","2,988",116,55,13,206
"Motley County, Texas",,"1,210","1,167",24,16,1,0,2
"Nacogdoches County, Texas",,"64,524","50,230","11,888",566,833,31,976
"Navarro County, Texas",,"47,735","39,124","6,799",491,310,391,620
"Newton County, Texas",,"14,445","11,211","2,903",80,62,1,188
"Nolan County, Texas",,"15,216","14,051",756,141,80,3,185
"Nueces County, Texas",,"340,223","312,368","14,474","2,712","6,081",365,"4,223"
"Ochiltree County, Texas",,"10,223","9,901",50,136,35,4,97
"Oldham County, Texas",,"2,052","1,926",66,15,17,0,28
"Orange County, Texas",,"81,837","72,381","7,021",490,842,55,"1,048"
"Palo Pinto County, Texas",,"28,111","26,726",641,234,149,21,340
"Panola County, Texas",,"23,796","19,283","3,898",134,82,11,388
"Parker County, Texas",,"116,927","111,408","2,026","1,047",698,54,"1,694"
"Parmer County, Texas",,"10,269","9,847",136,133,44,29,80
"Pecos County, Texas",,"15,507","14,531",599,156,107,7,107
"Polk County, Texas",,"45,413","38,326","5,329",965,195,33,565
"Potter County, Texas",,"121,073","99,331","12,981","1,464","5,016",112,"2,169"
"Presidio County, Texas",,"7,818","7,557",52,81,81,0,47
"Rains County, Texas",,"10,914","10,325",268,120,55,1,145
"Randall County, Texas",,"120,725","112,985","3,078","1,010","1,761",75,"1,816"
"Reagan County, Texas",,"3,367","3,195",83,34,6,0,49
"Real County, Texas",,"3,309","3,173",22,50,2,12,50
"Red River County, Texas",,"12,860","10,233","2,257",134,28,1,207
"Reeves County, Texas",,"13,783","12,770",717,88,127,9,72
"Refugio County, Texas",,"7,383","6,715",497,56,38,0,77
"Roberts County, Texas",,929,911,1,3,2,0,12
"Robertson County, Texas",,"16,622","12,514","3,666",153,105,3,181
"Rockwall County, Texas",,"78,337","69,902","4,626",555,"1,970",68,"1,216"
"Runnels County, Texas",,"10,501","10,028",216,124,46,3,84
"Rusk County, Texas",,"53,330","42,219","9,555",479,250,37,790
"Sabine County, Texas",,"10,834","9,800",792,68,33,2,139
"San Augustine County, Texas",,"8,865","6,657","2,026",49,23,0,110
"San Jacinto County, Texas",,"26,384","22,809","2,771",223,130,11,440
"San Patricio County, Texas",,"64,804","61,642","1,184",514,616,69,779
"San Saba County, Texas",,"6,131","5,771",204,67,13,0,76
"Schleicher County, Texas",,"3,461","3,357",41,16,4,0,43
"Scurry County, Texas",,"16,921","15,590",866,165,87,5,208
"Shackelford County, Texas",,"3,378","3,269",34,20,9,1,45
"Shelby County, Texas",,"25,448","20,384","4,548",196,92,6,222
"Sherman County, Texas",,"3,034","2,951",14,32,15,0,22
"Smith County, Texas",,"209,714","163,909","38,302","1,720","2,740",111,"2,932"
"Somervell County, Texas",,"8,490","8,112",64,102,65,4,143
"Starr County, Texas",,"60,968","60,539",87,118,146,0,78
"Stephens County, Texas",,"9,630","9,212",216,81,38,2,81
"Sterling County, Texas",,"1,143","1,085",14,28,0,0,16
"Stonewall County, Texas",,"1,490","1,396",43,17,14,0,20
"Sutton County, Texas",,"4,128","4,041",30,25,11,0,21
"Swisher County, Texas",,"7,854","7,025",595,98,21,4,111
"Tarrant County, Texas",,"1,809,034","1,388,970","276,031","16,438","87,115","3,915","36,565"
"Taylor County, Texas",,"131,506","114,594","10,260","1,254","2,195",174,"3,029"
"Terrell County, Texas",,984,942,7,24,4,0,7
"Terry County, Texas",,"12,651","11,712",656,108,48,1,126
"Throckmorton County, Texas",,"1,641","1,599",11,12,7,0,12
"Titus County, Texas",,"32,334","27,719","3,239",723,273,49,331
"Tom Green County, Texas",,"110,224","100,980","4,777","1,182","1,203",124,"1,958"
"Travis County, Texas",,"1,024,266","832,727","91,840","14,509","61,300","1,094","22,796"
"Trinity County, Texas",,"14,585","12,901","1,378",84,44,3,175
"Tyler County, Texas",,"21,766","18,850","2,498",136,56,6,220
"Upshur County, Texas",,"39,309","34,657","3,437",357,166,12,680
"Upton County, Texas",,"3,355","3,158",71,87,4,0,35
"Uvalde County, Texas",,"26,405","25,577",235,269,150,18,156
"Val Verde County, Texas",,"48,879","47,000",804,334,263,63,415
"Van Zandt County, Texas",,"52,579","49,639","1,460",517,194,34,735
"Victoria County, Texas",,"86,793","78,192","5,828",688,970,63,"1,052"
"Walker County, Texas",,"67,861","50,213","15,440",493,678,43,994
"Waller County, Texas",,"43,205","30,779","10,927",681,237,36,545
"Ward County, Texas",,"10,658","9,749",566,131,44,5,163
"Washington County, Texas",,"33,718","26,719","6,049",138,472,13,327
"Webb County, Texas",,"250,304","245,148","1,353","1,339","1,643",90,731
"Wharton County, Texas",,"41,280","34,545","6,015",223,174,14,309
"Wheeler County, Texas",,"5,410","5,129",129,64,23,0,65
"Wichita County, Texas",,"131,500","109,826","14,197","1,691","2,755",139,"2,892"
"Wilbarger County, Texas",,"13,535","11,912","1,121",171,114,11,206
"Willacy County, Texas",,"22,134","21,234",534,99,157,14,96
"Williamson County, Texas",,"422,679","360,281","27,440","3,668","21,011",521,"9,758"
"Wilson County, Texas",,"42,918","41,068",725,372,188,14,551
"Winkler County, Texas",,"7,110","6,702",205,121,26,0,56
"Wise County, Texas",,"59,127","56,827",676,563,258,21,782
"Wood County, Texas",,"41,964","38,893","2,006",384,172,22,487
"Yoakum County, Texas",,"7,879","7,532",97,130,35,2,83
"Young County, Texas",,"18,550","17,753",260,213,88,6,230
"Zapata County, Texas",,"14,018","13,896",21,45,37,0,19
"Zavala County, Texas",,"11,677","11,418",106,72,13,16,52
"Beaver County, Utah",,"6,629","6,331",21,101,74,21,81
"Box Elder County, Utah",,"49,975","47,865",207,527,467,101,808
"Cache County, Utah",,"112,656","106,242",859,"1,011","2,183",551,"1,810"
"Carbon County, Utah",,"21,403","20,475",110,283,139,31,365
"Daggett County, Utah",,"1,059","1,028",4,13,5,1,8
"Davis County, Utah",,"306,479","286,276","4,051","1,857","5,703","1,941","6,651"
"Duchesne County, Utah",,"18,607","17,147",53,898,57,53,399
"Emery County, Utah",,"10,976","10,720",32,97,39,9,79
"Garfield County, Utah",,"5,172","4,935",25,93,61,10,48
"Grand County, Utah",,"9,225","8,553",39,404,77,3,149
"Iron County, Utah",,"46,163","43,398",258,"1,100",400,145,862
"Juab County, Utah",,"10,246","9,955",32,92,23,20,124
"Kane County, Utah",,"7,125","6,896",17,105,31,3,73
"Millard County, Utah",,"12,503","12,002",39,219,91,15,137
"Morgan County, Utah",,"9,469","9,313",16,18,41,10,71
"Piute County, Utah",,"1,556","1,516",2,14,6,2,16
"Rich County, Utah",,"2,264","2,225",0,16,7,1,15
"Salt Lake County, Utah",,"1,029,655","922,030","18,899","12,962","35,279","16,564","23,921"
"San Juan County, Utah",,"14,746","6,920",26,"7,481",38,6,275
"Sanpete County, Utah",,"27,822","26,414",271,422,167,152,396
"Sevier County, Utah",,"20,802","20,154",39,265,68,36,240
"Summit County, Utah",,"36,324","34,981",195,172,468,50,458
"Tooele County, Utah",,"58,218","55,348",444,670,405,236,"1,115"
"Uintah County, Utah",,"32,588","28,978",133,"2,575",180,99,623
"Utah County, Utah",,"516,564","486,520","3,333","4,000","7,302","4,089","11,320"
"Wasatch County, Utah",,"23,530","22,756",94,179,195,33,273
"Washington County, Utah",,"138,115","130,043","1,030","2,335","1,036","1,171","2,500"
"Wayne County, Utah",,"2,778","2,690",2,25,19,4,38
"Weber County, Utah",,"231,236","215,618","3,633","2,795","3,239",692,"5,259"
"Addison County, Vermont",,"36,821","35,286",297,92,538,6,602
"Bennington County, Vermont",,"37,125","35,983",309,107,275,16,435
"Caledonia County, Vermont",,"31,227","30,226",179,145,251,1,425
