,,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or More Races
"Duval County, Florida",,"864,263","543,179","258,548","3,875","36,845",952,"20,864"
"Escambia County, Florida",,"297,619","208,623","68,925","2,728","8,339",466,"8,538"
"Flagler County, Florida",,"95,696","80,317","11,221",299,"2,109",71,"1,679"
"Franklin County, Florida",,"11,549","9,674","1,593",72,27,8,175
"Gadsden County, Florida",,"46,389","19,235","26,161",235,246,51,461
"Gilchrist County, Florida",,"16,939","15,675",900,95,62,12,195
"Glades County, Florida",,"12,884","10,424","1,619",667,62,2,110
"Gulf County, Florida",,"15,863","12,520","2,967",66,46,4,260
"Hamilton County, Florida",,"14,799","9,269","5,126",120,81,1,202
"Hardee County, Florida",,"27,731","24,742","2,026",310,318,14,321
"Hendry County, Florida",,"39,140","32,007","5,499",870,328,55,381
"Hernando County, Florida",,"172,778","158,160","9,174",682,"1,956",118,"2,688"
"Highlands County, Florida",,"98,786","85,605","9,608",541,"1,530",75,"1,427"
"Hillsborough County, Florida",,"1,229,226","937,745","212,420","6,008","43,697","1,475","27,881"
"Holmes County, Florida",,"19,927","18,135","1,147",161,92,27,365
"Indian River County, Florida",,"138,028","121,358","12,639",542,"1,717",62,"1,710"
"Jackson County, Florida",,"49,746","34,986","13,286",357,252,80,785
"Jefferson County, Florida",,"14,761","9,126","5,356",48,57,5,169
"Lafayette County, Florida",,"8,870","7,285","1,422",51,14,2,96
"Lake County, Florida",,"297,052","254,086","30,097","1,900","5,744",367,"4,858"
"Lee County, Florida",,"618,754","544,109","53,356","3,171","8,970",691,"8,457"
"Leon County, Florida",,"275,487","176,729","84,190",839,"8,224",172,"5,333"
"Levy County, Florida",,"40,801","35,791","3,879",205,256,28,642
"Liberty County, Florida",,"8,365","6,604","1,510",104,27,7,113
"Madison County, Florida",,"19,224","11,375","7,484",111,47,1,206
"Manatee County, Florida",,"322,833","281,424","29,282","1,657","5,484",300,"4,686"
